,Year,Rating,Runtime(Mins),Total_Gross,Title
615,2005,6.8,109,74.49,Four Brothers
616,2008,6.8,109,26.42,Street Kings
617,2005,6.8,136,35.82,The Island
618,2006,6.8,125,14.73,Tristan + Isolde
619,2002,6.8,92,25.3,The Transporter
621,2001,6.8,106,144.53,The Fast and the Furious
622,2001,6.8,124,71.07,The Score
623,2004,6.8,122,59.62,Hellboy
625,1998,6.8,136,94.1,The Mask of Zorro
626,1996,6.8,121,33.33,The Long Kiss Goodnight
627,1995,6.8,119,65.81,Bad Boys
628,1992,6.8,117,83.29,Patriot Games
629,1992,6.8,81,2.04,El mariachi
630,1988,6.8,107,45.66,Young Guns
631,1987,6.8,120,25.89,Innerspace
632,1988,6.8,92,11.81,Bloodsport
633,1985,6.8,108,4.27,Enemy Mine
634,1980,6.8,127,108.19,Superman II
635,1979,6.8,88,8.75,Mad Max
636,1976,6.8,119,25.0,Logan's Run
637,1969,6.8,142,22.8,On Her Majesty's Secret Service
638,1967,6.8,117,43.08,You Only Live Twice
640,2019,6.7,123,316.83,Jumanji: The Next Level
641,2019,6.7,138,56.85,Midway
642,2018,6.7,114,127.2,Bumblebee
643,2017,6.7,141,100.23,Kingsman: The Golden Circle
645,2018,6.7,121,102.08,The Equalizer 2
647,2015,6.7,93,0.05,Turbo Kid
648,2021,6.7,134,183.65,Black Widow
649,2015,6.7,96,9.25,Hardcore Henry
650,2014,6.7,100,0.32,The Guest
651,2016,6.7,102,76.23,Pete's Dragon
652,2014,6.7,92,0.01,The Salvation
654,2017,6.7,115,51.69,Atomic Blonde
655,2016,6.7,117,27.57,The Finest Hours
656,2017,6.7,126,39.18,King Arthur: Legend of the Sword
657,2015,6.7,103,27.29,No Escape
658,2011,6.7,109,37.52,In Time
659,2012,6.7,115,126.37,Safe House
660,2011,6.7,129,0.54,Machine Gun Preacher
661,2019,6.7,99,73.12,Zombieland: Double Tap
662,2010,6.7,96,0.32,Super
663,2013,6.7,126,132.56,The Wolverine
665,2013,6.7,113,46.0,Gangster Squad
666,2013,6.7,109,75.61,2 Guns
667,2010,6.7,98,0.12,Wild Target
668,2013,6.7,115,25.13,Escape Plan
669,2009,6.7,132,27.15,Brooklyn's Finest
670,2013,6.7,116,11.33,Out of the Furnace
671,2009,6.7,108,10.33,Pandorum
672,2007,6.7,162,3.6,Om Shanti Om
673,2008,6.7,114,3.52,The Brothers Bloom
674,2009,6.7,138,133.38,Angels & Demons
675,2007,6.7,105,9.53,Death Sentence
676,2016,6.7,123,47.37,Warcraft
677,2008,6.7,115,20.21,Appaloosa
678,2008,6.7,110,134.51,Wanted
679,2007,6.7,122,36.79,The Brave One
680,2010,6.7,117,77.22,The A-Team
681,2006,6.7,106,62.32,Underworld: Evolution
683,2004,6.7,136,67.29,Hidalgo
684,2003,6.7,129,139.31,The Matrix Revolutions
685,2002,6.7,117,82.35,Blade II
686,1998,6.7,151,201.57,Armageddon
687,1997,6.7,98,44.46,Nothing to Lose
688,1997,6.7,135,75.98,Conspiracy Theory
689,1997,6.7,121,50.01,Absolute Power
690,1996,6.7,121,136.49,Ransom
691,1995,6.7,104,32.39,Hung fan kui
692,1994,6.7,191,25.05,Wyatt Earp
693,1993,6.7,115,58.06,Demolition Man
694,1992,6.7,118,144.73,Lethal Weapon 3
695,1991,6.7,84,69.47,Hot Shots!
696,1991,6.7,137,77.87,Backdraft
697,1990,6.7,93,135.27,Teenage Mutant Ninja Turtles
698,1988,6.7,120,46.62,Colors
699,1987,6.7,117,65.67,Stakeout
700,1987,6.7,130,51.19,The Living Daylights
701,1987,6.7,110,13.84,Hamburger Hill
702,1985,6.7,90,35.1,Commando
703,1984,6.7,101,28.73,The Last Starfighter
704,1982,6.7,96,33.0,TRON
705,1981,6.7,127,62.3,For Your Eyes Only
706,1976,6.7,96,46.2,The Enforcer
